gender,Activity1,Activity2,Activity3,Activity4,Activity5,Participation,Test1,Test2,Test3,Pass/Fail
M,20,100,0,0,0,0,50,30,0,F
M,57,70,20,0,0,0,77,48,36,F
M,0,0,0,0,68,70,77,42,0,F
M,62,95,100,0,78,60,61,22,48,F
M,76,90,70,37,62,50,83,61,20,F
M,86,105,0,100,75,70,63,43,0,F
M,84,88,20,75,75,70,47,40,60,F
F,0,100,0,90,95,80,84,42,60,F
M,16,0,95,100,65,80,80,50,100,F
M,71,105,100,75,62,50,55,69,43,F
M,83,100,100,0,78,80,97,84,0,F
M,92,85,95,95,75,70,0,64,74,F
M,71,105,100,45,62,50,88,86,65,F
M,86,80,0,95,78,70,86,77,84,F
M,95,85,75,95,75,70,0,65,100,F
F,73,105,95,33,62,50,100,85,74,F
M,87,60,75,80,72,60,86,64,83,F
F,84,101,0,100,82,85,82,62,81,F
M,86,70,95,85,87,85,77,67,21,F
M,76,105,100,0,78,80,79,84,81,F
M,82,60,90,82,95,80,71,51,71,F
F,81,85,80,90,82,50,82,62,83,F
M,93,80,85,70,72,75,74,89,74,F
M,73,100,40,100,78,75,97,75,69,F
M,89,105,90,91,68,70,77,72,63,F
M,77,105,85,90,78,85,89,39,74,P
M,96,98,96,80,72,60,76,69,82,P
M,72,100,94,100,75,85,72,62,69,P
M,76,105,105,80,75,70,77,69,79,P
M,89,105,100,100,65,70,98,93,30,P
M,87,100,103,100,78,75,75,61,69,P
M,79,105,102,100,75,70,83,64,73,P
F,86,105,100,100,82,80,82,55,57,P
M,83,100,80,100,75,70,95,79,73,P
M,92,100,105,97,78,75,79,60,71,P
F,80,91,94,100,75,75,75,84,86,P
M,60,100,95,95,78,70,91,76,93,P
M,87,105,85,80,95,90,79,45,75,P
F,74,105,90,95,78,80,88,67,86,P
M,64,98,85,100,87,80,100,69,72,P
M,84,85,99,100,68,70,91,99,84,P
M,95,105,100,100,82,90,97,0,100,P
M,95,105,105,100,75,70,64,64,100,P
M,98,100,100,100,72,75,74,73,91,P
M,91,102,100,100,78,90,85,57,76,P
M,94,105,97,100,68,70,89,70,100,P
M,95,100,104,100,72,70,90,62,100,P
M,83,90,104,95,72,85,93,79,92,P
M,95,105,105,100,72,80,88,88,62,P
F,97,95,105,95,95,65,90,49,86,P
M,95,105,105,100,75,60,93,75,90,P
M,85,95,100,90,87,85,79,75,90,P
F,89,85,95,100,87,80,93,87,72,P
M,98,105,105,100,75,70,96,85,70,P
F,84,105,94,100,72,85,87,82,100,P
M,97,90,105,100,75,80,92,78,89,P
M,80,100,99,100,87,85,85,85,74,P
M,72,100,100,90,78,80,86,99,100,P
M,68,105,105,90,95,85,57,89,95,P
M,94,80,104,85,95,90,94,70,79,P
M,86,105,100,90,82,60,83,99,100,P
M,80,105,85,100,87,80,85,80,100,P
F,92,100,100,100,82,85,95,70,84,P
M,88,90,104,100,75,90,90,79,99,P
M,95,100,105,85,87,85,93,61,94,P
M,78,105,105,95,87,85,78,81,92,P
M,98,100,105,100,75,85,78,90,89,P
M,80,95,95,97,82,75,100,89,100,P
M,94,100,105,100,78,80,84,80,98,P
M,88,105,105,100,78,80,96,92,78,P
M,92,105,102,100,78,70,85,90,100,P
M,88,104,99,100,78,85,90,83,100,P
M,88,90,100,85,87,80,100,91,100,P
F,94,105,105,101,75,75,97,82,100,P
M,93,95,105,87,95,85,72,85,100,P
M,98,100,104,100,75,85,85,91,100,P
M,95,105,97,100,78,85,85,91,100,P
M,94,105,105,90,72,80,100,97,100,P
M,97,105,104,100,72,80,97,90,100,P
M,98,100,105,100,78,85,100,75,100,P
M,96,104,105,100,75,80,93,92,100,P
M,90,105,100,100,78,85,92,95,97,P
M,94,105,104,100,72,80,97,98,100,P
M,87,95,105,100,82,90,100,89,95,P
F,89,105,105,100,87,85,92,75,100,P
M,98,105,105,100,82,75,91,88,100,P
M,94,105,104,100,82,85,99,84,91,P
M,94,90,95,95,95,90,85,88,100,P
F,94,100,99,100,82,90,100,90,100,P
M,95,105,105,100,95,90,94,76,88,P
M,98,100,105,100,82,85,97,99,96,P
M,98,105,105,100,78,85,100,100,100,P
M,99,95,105,100,95,95,98,82,93,P
M,93,105,95,87,95,95,94,100,100,P
M,98,100,100,100,95,85,95,100,100,P
M,98,105,105,100,95,90,92,94,100,P
F,98,100,105,100,95,95,100,100,96,P
